"date","BankLoansHouseholds","DiamondsExports","ElectricityGeneration","GoogleSVITravelMyCountry","Imports","Inflation","RealEffectiveExchangeRate","StockExchangeIndex","TaxRevenue","ChinaGDP","IndiaGDP","NGDP_RPCH","USGDP"
2008-06-01,27.5262190726621,28.6623746760345,9.27520133296306,1.47058823529412,46.5187223401484,12.5324675324675,-3.12230488816712,-18.9769314769315,0.66506997090319,10.6576559993689,7.94548560125543,5.57413874584947,1.09227896111564
2008-09-01,27.0686537672893,19.1704415912741,-19.4883823955381,-7.48299319727892,53.4391497609698,14.7040101845958,0.65914472820468,-20.4689009815389,39.2282213104698,9.41158878170934,6.36870031113847,8.66653708452728,0.00191488954277474
2008-12-01,24.374514607889,-44.1980300163523,-1.72713386297694,-17.2932330827068,22.3371263941215,13.9130434782609,-2.60736369678672,-12.7325013156906,-20.8341836334239,7.16078591957292,1.99444670188269,4.1546647835325,-2.75345768303514
2009-03-01,32.4258385777022,-68.1725367755155,-23.5927098817295,-20.8092485549133,4.16026550295111,12.0554550934298,6.2496500308894,-19.7844398887694,-3.26193001060446,6.60176156888275,0.242983419954882,-9.8753227768092,-3.28943170361296
2009-06-01,27.6842117833444,-9.36890946456946,-35.827546467303,0.724637681159422,-8.34568989768415,8.30929024812464,11.2401473376612,-13.2403936598857,-66.6673220992194,8.12347735167158,4.75977059516124,-7.58082237970386,-3.92450626257752
2009-09-01,20.2226875809131,-43.0038567519222,-12.9349022263608,-11.0294117647059,-12.525443631493,6.38179800221977,9.84812494276177,-14.4731064530018,-8.75545808776018,10.4740087674385,6.76866548098513,-9.70463161174551,-3.04972234633306
2009-12-01,17.2652191012399,106.528670360376,-22.9493231573926,6.36363636363637,0.1630841721812,5.94329334787349,11.4855632196782,-6.41441488009856,32.016021891297,11.9248118172499,8.64990736194424,-3.52147020340193,0.183324634655534
2010-03-01,11.4127080105312,200.008504468035,17.1359695495876,0.729927007299281,19.183780850331,5.97095212479827,10.4305288669243,13.5618095233276,97.8251337367359,12.2851126436052,13.1005658217383,10.7752546068551,1.7102250608674
2010-06-01,10.8536726034785,6.52935991277693,4.5200445741967,-8.63309352517986,9.66816366805074,7.56526371870008,9.29509366309075,19.5065643979848,101.468853232657,10.8182228201874,10.2565589959634,5.02538166858524,2.79633410642191
2010-09-01,11.5112412678076,20.9376364787349,-12.5530708151029,-5.78512396694215,12.6097041459124,6.99008868022955,7.06832555330057,11.179675311405,-77.9954720544212,9.86245519961446,9.48744605418274,12.4212409738641,3.17857425012508
2010-12-01,11.5744663324625,36.4792801534967,3.60874809209193,-16.2393162393162,16.7340534060168,7.25681935151827,9.19549206785018,-3.66798921098417,59.4394460549439,9.88106485253233,10.9561077019653,6.24587748660761,2.56901166311758
2011-03-01,10.414081425555,23.0571030492615,-33.4789578579475,-17.3913043478261,31.3871784990148,8.2741116751269,4.52262464635787,-7.82675347709639,0,10.1758456767887,10.2741200707855,5.59539598048451,1.93122328106855
2011-06-01,12.7388337992362,61.0262198142668,-39.7309037721053,-28.3464566929134,32.8733771150422,8.07330361565128,1.43960448108069,-5.6824849475081,192.328638772582,10.0503049858329,8.41729788686045,8.01799211796697,1.72137838828075
2011-09-01,19.0890314461968,70.1724045410041,-31.9790228580429,-11.4035087719298,35.8027353694821,8.48366650414431,0.138685556317839,-2.52048849595609,302.291788570314,9.46038612997727,6.34780958210936,2.34641444227184,0.948825931597753
2011-12-01,19.2171494113459,7.28411023648567,-28.4629648707119,-9.18367346938776,18.1475759191177,9.11708253358923,-5.38938082316696,-0.308664096058578,-7.59962317475271,8.71459372639343,6.22301951460611,8.34866058218404,1.60946249666681
2012-03-01,20.7420131946453,6.97093563412972,20.7900478718207,-12.280701754386,6.34016541629822,8.20440693858416,-2.1449778821178,1.09169672297591,-44.6545201997813,8.06693839084365,5.9477838185729,6.61226067139877,2.65134158138586
2012-06-01,19.148670795926,-3.55861113805095,79.5657894736842,14.2857142857143,11.1654348706815,7.47021081576536,-5.2846580600259,3.09329658129475,-15.4538807480043,7.7435080961731,4.96623138106511,3.05241503972853,2.36143847432243
2012-09-01,16.5001240455385,25.3345213760722,157.985642869791,-4.95049504950495,52.9317947801769,7.14606741573034,-2.85845834478641,1.27673274157199,35.3688395432838,7.58980359099203,6.75378993701466,3.39172257519884,2.52833313317362
2012-12-01,20.0675901330792,54.5607703968375,302.818219783701,-8.98876404494382,24.3330730743553,7.29991204925244,-0.583250669836417,8.01512631624352,-12.7687774639846,7.99387558361531,5.53678591603874,4.79972153796722,1.46837372923187
2013-03-01,22.2206202267012,92.2774814497774,151.388926334331,-3,21.5768043388714,7.40901213171577,-4.23410790076844,14.3893597076885,39.3837856599341,7.8995414150283,4.93167984845277,9.61907503358282,1.57228415192134
2013-06-01,26.9396326118725,50.1534789524566,202.776352963207,-21.1538461538462,32.8702776936515,6.39658848614073,-3.66421255619173,21.0553678190798,32.1407416182917,7.63218387461085,6.3245650455692,12.4016701281651,1.2618218633479
2013-09-01,26.5945385317646,50.3611202786962,216.672562633649,1.04166666666667,-12.2747337271495,5.53691275167782,-6.08765553651308,17.0249675304033,7.9412976128651,7.94899660838435,6.42599018859964,13.5929266288145,1.91730319899881
2013-12-01,25.5077642897931,29.0651132698832,53.7703640413126,3.7037037037037,21.199554905336,4.30327868852459,-5.42942932494039,17.9849666764286,28.7298823034397,7.63495064062172,6.87854288875185,9.88078874621239,2.61406112407707
